,,,
"WARD 1 - LINN",,,,
"Polling Place and Address","Station/Ballot Box No","Registers (Polling District)",,"Combination Notes"
"St Oswald's School, 83 Brunton Street, G44 3NF","1 - 3 ","Voters in Polling District CC1101",,
"St Fillan's Primary School, 20 Crompton Avenue, G44 5AS",4,"Voters in Polling District CC1201",,
"St Mirrin's Primary School, 260 Carmunnock Road, G44 5AP","5 - 7","Voters in Polling District CC1301",,
"Croftfoot Primary School, 114 Crofthill Road, G44 5QQ","8 - 11","Voters in Polling Districts CC1401 & CC2101",,
"Portacabin on site at Holmbyre Terrace
Holmbyre Terrace, G45 9PY",12,"Voters in Polling District CC1501",,"Box 12 combined with box 13"
"Castleton Primary School, 70 Dougrie Road, G45 9NW","13 - 14","Voters in Polling Districts CC1601 & CC2201",,"Box 12 combined with box 13
Box 14 combined with box 15"
"John Paul II Primary School, 29 Dunagoil Road, G45 9UR",15,"Voters in Polling District CC1701",,"Box 14 combined with box 15"
"Carmunnock Primary School, 158 Waterside Road, G76 9AJ",16,"Voters in Polling District CC1801",,
"Portacabin on site of 59 Drakemire, Raithburn Road, G45 9RW",17,"Voters in Polling District CC1901",,"Box 17 combined with box 18"
"St Bartholemew's Primary, 30 Castlemilk Drive, G45 9TR","18 - 21","Voters in Polling Districts CC2001 & CC2301",,"Box 17 combined with box 18
Box 20 combined with box 21"
"Jennyburn Centre, 370 Tormusk Road, G45 OHE","22 - 24","Voters in Polling District CC2401 & CC2501",,"Box 23 combined with box 24"
"TOTAL POSTAL LINN""All postal votes for Linn",,,,
,,,,
"WARD 2 - NEWLANDS/AULDBURN",,,,
"Polling Place and Address","Station/Ballot Box No","Registers (Polling District)",,"Combination Notes"
"Newlands South Parish Church Hall, 37 Riverside Road, G43 2EG","25 - 26","Voters in Polling Districts CC3102 ",,
"Mansewood Community Centre, Main Hall
88 Parkneuk Road, G43 2AF","27 - 28","Voters in Polling District CC2702",,"Box 27 combined with box 28"
"St Vincent 's RC Primary School, 40 Crebar Street, G46 8EQ","29 - 31","Voters in Polling District CC2802",,"Box 30 combined with box 31"
"Eastwood Nursery School, 16 Bonnyrigg Drive, G43 1HW",32,"Voters in Polling District CC2902",,
"Tinto Primary School, 61 Nether Auldhouse Road, G43 ","33 - 35","Voters in Polling District CC3002",,
"Pollokshaws Burgh Hall, 2025 Pollokshaws Road ","36 - 38","Voters in Polling District CC3202",,"Box 37 combined with box 38"
"Our Lady of the Annunciation Primary School
80 Friarton Road, G43 2PR","39 - 42","Voters in Polling District CC3302",,
"TOTAL POSTAL NEWLANDS/AULDBURN""All postal votes for Newlands/Auldburn",,,,
,,,,
"WARD 3 - GREATER POLLOK",,,,
"Polling Place and Address","Station/ Ballot Box No","Registers (Polling District)",,"Combination Notes "
"Ashpark Primary School, 75 Kyleakin Road, G46 8DQ","43 - 46","Voters in Polling Districts PK0703",,"Box 43 combined with box 44
Box 45 combined with box 46"
"Howford School, 487 Crookston Road, G53 7TX","47 - 52","Voters in Polling Districts PK0803, PK0903 & PK1403",,
"St Marnock's Primary School, 13 Langton Crescent, G53 5LW","53 - 55","Voters in Polling District PK1003",,"Box 54 combined with box 56"
"Gowanbank Primary School, 20 Overtown Avenue, G53 6JB",56,"Voters in Polling District PK1103",,"Box 54 combined with box 56"
"The Hall, 160 Peat Road, G53 6PT","57 - 58","Voters in Polling District PK1203",,"Box 57 combined with box 58"
"Priesthill Parish Church Hall, 100 Priesthill Road, G53 6PG","59 - 60","Voters in Polling District PK1303",,"Box 59 combined with box 60"
"Cleeves Primary School, Househillmuir Road, G53 6NL",61,"Voters in Polling Districts PK1503                                                                                                                                   ",,
"Darnley Primary School, 169 Glen Morriston Road, G53 7HT","62 - 66","Voters in Polling Districts PK1603 & PK1803",,"Box 62 combined with box 63
Box 64 combined with box 66"
"St Bernards Primary School , 14 Dove Street, G53 ","67 - 68","Voters in Polling District PK1903",,"Box 67 combined with box 68"
"TOTAL POSTAL GREATER POLLOK""All postal votes for Greater Pollok",,,,
,,,,
,,,,
"WARD 4 - CRAIGTON",,,,
"Polling Place and Address","Station/ Ballot Box No","Registers (Polling District)",,"Combination Notes "
"Penilee CE Centre, 10 Gleddoch Road, G52 4BD","69 - 70","Voters in Polling District PK2104",,
"St George's Primary School, 101 Muirdykes Road, G52 2QS","71 - 72","Voters in Polling District PK2204",,
"Rosshall Nursery School, Cronberry Quadrant, G52 3NU",73,"Voters in Polling District PK2304",,
"Hillington Primary School, 227 Hartlaw Crescent, G52 2JL","74 - 75","Voters in Polling District PK2404",,
"Lourdes Primary School, 144 Berryknowes Road, G52 2DE",76,"Voters in Polling District PK2504",,"Box 76 combined with box 77"
"Berryknowes Adult Training Centre, 14 Hallrule Drive, G52 2HH","77 - 78","Voters in Polling District PK2604",,"Box 76 combined with box 77"
"Cardonald Parish Church Hall, 24 Cardonald Place Road, G52 3JR","79 - 81","Voters in Polling District PK2704",,
"Cardonald Primary School, 1 Angus Oval, G52 3HD`","82 - 84","Voters in Polling District PK2804",,
"Lyoncross Nursery School, 61 Lyoncross Road, G53 5UR",85,"Voters in Polling District PK2904",,"Box 85 combined with box 87"
"Church Hall St James RC (Pollok), Meiklerigg Crescent, G53 5UD","86 - 87","Voters in Polling District PK3004",,"Box 85 combined with box 87"
"Our Lady of the Rosary Primary School, 50 Tarfside Gardens, G52 3AA",88,"Voters in Polling District PK3104",,
"Mosspark Primary School, 20 Mosspark Square, G52 1LZ","89 - 91","Voters in Polling District PK3204",,"Box 91 combined with box 92"
"Corkerhill Neighbourhood Hall, 151 Corkerhill Place, G52 1RS",92,"Voters in Polling District PK3304",,"Box 91 combined with box 92"
"TOTAL POSTAL CRAIGTON""All postal votes for Craigton",,,,
,,,,
"WARD 5 - GOVAN",,,,
"Polling Place and Address","Station/Ballot Box No","Registers (Polling District)",,"Combination Notes "
"Pirie Park Primary School, 337 Langlands Road, G51 4AW","93 - 97","Voters in Polling Districts PK0105 & PK0205",,
"St Constantine's Primary School, 45 Drumoyne Road, G51 4AX",98,"Voters in Polling District PK0305",,"Box 98 combined with box 99"
"Govan Campus, 635 Govan Road, G51 2AQ","99 - 101","Voters in Polling District PK0405",,"Box 98 combined with box 99
Box 100 combined with box 101"
"Craigton Primary School, 5 Morven Street, G52 1AL","102 - 103","Voters in Polling District PK0505",,
"Govan Campus, 635 Govan Road, G51 2AQ","104 - 105 ","Voters in Polling District SS0105",,
"Ibrox Primary School, 40 Hinshelwood Drive, G51 2XP","106 - 107","Voters in Polling District SS0205",,"Box 106 combined with box 109"
"Lorne Street Primary School, 28 Lorne Street, G51 1DP","108 - 111","Voters in Polling District SS0305",,"Box 106 combined with box 109
Box 110 combined with box 112"
"Social Work Offices, Infants Area, 100 Morrison Street, G5 8LN",112,"Voters in Polling District SS0405",,"Box 110 combined with box 112"
"Nithsdale Road Nursery, 264 Nithsdale Road, G41 5LB",113,"Voters in Polling District SS0505",,
"TOTAL POSTAL GOVAN""All postal votes for Govan",,,,
,,,,
"WARD 6 - POLLOKSHIELDS",,,,
"Polling Place and Address","Station/ Ballot Box No ","Registers (Polling District)",,"Combination Notes "
"St Albert's Primary School, 34 Maxwell Drive, G41 5DY","114 - 115","Voters in Polling District SS0706",,
"Pollokshields Primary School, 241 Albert Drive, G41 2NA","116 - 119","Voters in Polling District SS0806",,
"Shawlands Primary School, 1284 Pollokshaws Road, G41 3QP","120 - 121","Voters in Polling District SS0906",,
"Pollokshields Burgh Hall, 70 Glencairn Drive, G41 4LL","122 - 126","Voters in Polling District SS1006",,
"Shawlands Academy, 31 Moss-side Road, G41 3TR","127 - 129","Voters in Polling District SS1106",,
"Queens Park Church, 170 Queens Drive, G41","130 - 131","Voters in Polling District SS1206",,
"TOTAL POSTAL POLLOKSHIELDS""All postal votes for Pollokshields",,,,
,,,,
"WARD 7 - LANGSIDE",,,,
"Polling Place and Address"," Station/ Ballot Box No ","Registers (Polling District)",,"Combination Notes "
"Mount Florida Primary School, 1127 Cathcart Road, G42 9HF","132 - 135","Voters in Polling Districts CC0107 & CC0507",,
"Battlefield Primary School, 44 Carmichael Place, G42 9SY","136 - 139","Voters in Polling Districts CC0207 & CC0307",,
"Portacabins at site of Holmlea Primary, 352 Holmlea Road G44 4BY","140 - 141","Voters in Polling District CC0407",,"Box 140 combined with 141"
"Langside Halls, 5 Langside Avenue, G41 2QR","142 - 146","Voters in Polling District CC0607",,
"Newlands South Parish Church Hall, 37 Riverside Road, G43 2EG",147,"Voters in Polling District  CC0707",,"Box 147 combined with box 148"
"King's Park Primary School, 44 Kingsbridge Drive, G44 4JS","148 - 150","Voters in Polling DistrictS CC0807 & CC0907",,"Box 147 combined with box 148"
"TOTAL POSTAL LANGSIDE""All postal votes for Langside",,,,
,,,,
"WARD 8 - SOUTHSIDE CENTRAL",,,,
"Polling Place and Address","Station/ Ballot Box No  ","Registers (Polling District)",,"Combination Notes "
"Holyrood Secondary School, 100 Dixon Road, G42 8AU","151 - 152","Voters in Polling District SS1408",,
"St Bride's Primary School, 85 Craigie Street, G42 8NB","153 - 156","Voters in Polling Districts SS1508 & SS2408",,"Box 155 combined with box 158"
"St Brigid's Primary School, 4 Glenmore Avenue, G42 OEH","157 - 160","Voters in Polling District SS1608",,"Box 155 combined with box 158
Box 160 combined with box 161"
"Playbarn, 37 Abbotsford Road, G5 9QS",161,"Voters in Polling District SS1708",,"Box 160 combined with box 161"
"St Francis' Primary School, 430 Old Rutherglen Road, G5 OPA","162 - 165","Voters in Polling Districts SS1808 & SS2108",,
"Blackfriars Primary School, 310 Cumberland Street, G5 OSS","166 - 167","Voters in Polling District SS1908",,"Box 167 combined with box 174"
"Annette Street Primary School, 27 Annette Street, G42 8YB","168 - 170","Voters in Polling District SS2008",,
"Holy Cross Primary School, 316 Calder Street, G42 7NH","171 - 173","Voters in Polling District SS2208",,
"New Gorbals Housing Association, Warden Communal Room, 16 Devon Street, G5 9ST",174,"Voters in Polling District SS2308",,"Box 167 combined with box 174"
"TOTAL POSTAL SOUTHSIDE CENTRAL""All postal votes for Southside Central",,,,
,,,,
"WARD 9 - CALTON",,,,
"Polling Place and Address","Station/Ballot Box No","Registers (Polling District)",,"Combination Notes "
"Portacabins on the site of the former St James Primary School, 88 Green Street, G40 2TG","175 - 178","Voters in Polling District SH1009",,"Box 175 combined with box 178"
"Bridgeton Library, 23 Landressy Street, G40 1BP","179 - 180","Voters in Polling District SH1109",,"Box 180 combined with box 181"
"Reidvale Centre, 13 Whitevale Street, G31 1QW",181,"Voters in Polling District SH1309",,"Box 180 combined with box 181"
"St Anne's Primary School, 35 David Street, G40 2UN",182,"Voters in Polling Districts SH1409 & SH1209",,"Box 182 combined with box 183"
"St Michael's Primary School, 865 Springfield Road, G31 4HZ",183,"Voters in Polling District SH1509",,"Box 182 combined with box 183"
"Sacred Heart Primary School, 31 Reid Street, G40 4AR","184 - 185","Voters in Polling District SH1609",,"Box 184 combined with box 185"
"Dalmarnock Primary School, 111 Baltic Street, G40 3BA",186,"Voters in Polling District SH1709",,
"Dalmarnock Community Centre, 3 Lily Street, G40 3HE",187,"Voters in Polling District SH1809",,
"Calton Parkhead Parish Church Hall, 142 Helenvale Street,  G31 4NA",188,"Voters in Polling District SH1909",,
"Helenslea Community Hall, 48 Methven Street, G31 4RB",189,"Voters in Polling District SH2009",,
"Reidvale Centre, 13 Whitevale Street, G31 1QW","190 - 191  (see SH1309)","Voters is Polling District SH2109",,"Box 190 combined with box 191"
"TOTAL POSTAL CALTON""All postal votes for Calton",,,,
,,,,
"WARD 10 - ANDERSTON CITY",,,,
"Polling Place and Address","Station/Ballot Box No","Registers (Polling District)",,"Combination Notes "
"Overnewton Recreation Centre, 2 Overnewton Square, G3 8RW","192 - 194","Voters in Polling District KE0110",,"Box 192 combined with box 193"
"Gaelic School, 147 Berkeley Street, G3 7HP","195 - 199","Voters in Polling Districts KE0210 & KE0710",,"Box 196 combined with box 198
Box 199 combined with box 201"
"Garnetbank Primary School, 231 Renfrew Street, G3 6TX",200,"Voters in Polling District KE0310",,
"Main Shop Unit, 6 Candleriggs, G1",201,"Voters in Polling District KE0410",,"Box 199 combined with box 201"
"St Patrick's Primary School, 10 Perth Street, G3 8UQ","202 - 204","Voters in Polling District KE0510",,"Box 203 combined with box 204"
"Garnethill Multicultural Community Centre, 21 Rose Street, G3 6RE","205 - 206","Voters in Polling District KE0610",,"Box 205 combined with box 206"
"Dundasvale Residents Association Hall, 12 Dundasvale Court, G4 OJS",207,"Voters in Polling District KE0810",,
"St Mungo's Primary School, 45 Parson Street, G4 ORZ","208 - 211","Voters in Polling District KE0910",,"Box 208 combined with box 209 and box 210"
"Council Offcies, 23 Montrose Street, G1 1RG","212 - 213","Voters in Polling District KE1010",,"Box 212 combined with box 213"
"Ladywell Community Hall, 32A Drygate, G4 OYB",214,"Voters in Polling District KE1110",,
"TOTAL POSTAL ANDERSTON CITY""All postal votes for Anderston City",,,,
,,,,
"WARD 11 - HILLHEAD",,,,
"Polling Place and Address","Station/Ballot Box No","Registers (Polling District)",,"Combination Notes "
"Hyndland Secondary School, Lauderdale Gardens, G12 9RQ","215 - 219","Voters in Polling Districts KE1511 & KE1711",,"Box 218 combined with box 219"
"Notre Dame Primary School, 66 Victoria Crescent Road, G12 9JL","220 - 221","Voters in Polling District KE1611",,
"Hillhead High School, Oakfield Avenue, G12 8LJ","222 - 226","Voters in Polling DistrictS KE1811 &  KE1911",,"Box 222 combined with box 223
Box 224 combined with box 225
Box 226 combined with box 227"
"Community Central Halls, 316 Maryhill Road, G20 7YE","227 - 229","Voters in Polling District KE2011",,"Box 226 combined with box 227"
"St Joseph's Primary School, 39 Raglan Street, G4 9QX","230 - 231","Voters in Polling District KE2111",,"Box 230 combined with box 231"
"Hillhead Primary School, 110 Otago Street, G3 6NB","232 - 235","Voters in Polling District KE2211",,"Box 232 combined with box 235"
"TOTAL POSTAL HILLHEAD""All postal votes for Hillhead",,,,
,,,,
"WARD 12 - PARTICK WEST",,,,
"Polling Place and Address","Station/Ballot Box No","Registers (Polling District)",,"Combination Notes "
"Jordanhill Parish Church Hall, Munro Road
(28 Woodend Drive), G13 1QT","236 - 239","Voters in Polling District AN3012",,
"St Thomas Aquinas Secondary School, 112 Mitre Road, G14 9PP","240 - 241","Voters in Polling District AN3112",,
"Whiteinch Primary School, 56 Medwyn Street, G14 9RP","242 - 244","Voters in Polling District AN3212",,
"Broomhill Community Church of the Nazarene, 95 Broomhill Drive (enter from Norby Road), G11 7NA",245,"Voters in Polling District AN3312",,
"Broomhill Primary School Annexe, 67 Randolph Road, G11 7EE","246 - 248","Voters in Polling District AN3412",,
